,station_name,station_latitude,station_longitude,fsq_id,poi_name,poi_id,poi_category,poi_distance
3852,Morton & Denman,49.28803,-123.142135,5afd0c01ad910e002cfb1131,Pacifico Pizzeria & Ristorante,13064,Pizzeria,225
3853,13th & Cambie,49.259579,-123.114769,52ae4f3c11d227ba4f4b055a,Indian Roti Kitchen,13199,Indian Restaurant,73
3854,13th & Cambie,49.259579,-123.114769,61c9046a080fc2113f359527,The Golden Horn Turkish Bakery & Cafe,13002,Bakery,37
3855,13th & Cambie,49.259579,-123.114769,4c47a56896abd13a8eb47101,New Sun Restaurant,13099,Chinese Restaurant,43
3856,13th & Cambie,49.259579,-123.114769,4af0ca31f964a52035df21e3,The Firewood Cafe,13064,Pizzeria,113
3857,13th & Cambie,49.259579,-123.114769,4aa82865f964a520b34f20e3,Tropika Malaysian & Thai Cuisine 星馬印,13299,Malay Restaurant,87
3858,13th & Cambie,49.259579,-123.114769,57e6d0a2498e8d223bc2af56,Passion8 Dessert Cafe,13034,Café,129
3859,13th & Cambie,49.259579,-123.114769,5e1e5c46568f980008a9fad9,Iden & Quan Ju de Beijing Duck House,13099,Chinese Restaurant,68
3860,13th & Cambie,49.259579,-123.114769,4bc2aa604cdfc9b6a9749621,Hot Delivery Chinese Food,13099,Chinese Restaurant,111
3861,13th & Cambie,49.259579,-123.114769,4aac71adf964a520fa5d20e3,Shiro Japanese Restaurant,13049,Diner,183
3862,13th & Cambie,49.259579,-123.114769,5674aec9498e6800815c3598,Vij's,13199,Indian Restaurant,229
3863,13th & Cambie,49.259579,-123.114769,6031681b8f3fbb0da52233f2,Regal Mansion Cusine,13106,Dim Sum Restaurant,131
3864,13th & Cambie,49.259579,-123.114769,4b7205ecf964a520ac6a2de3,A&W Restaurant,13068,American Restaurant,179
3865,13th & Cambie,49.259579,-123.114769,6194486bcfc5a57be287e71f,Chirpyhut Fried Chicken,13055,Fried Chicken Joint,164
3866,13th & Cambie,49.259579,-123.114769,5b6c8e6bbd4009002c2b3bcf,Bubble Waffle Cafe,13072,Asian Restaurant,174
3867,13th & Cambie,49.259579,-123.114769,62d47a8219f50c000af52313,Five Star Fried Chicken,13055,Fried Chicken Joint,179
3868,13th & Cambie,49.259579,-123.114769,4be48099910020a134ced114,Cultured Coffee & Tea,13035,Coffee Shop,189
3869,13th & Cambie,49.259579,-123.114769,4d34af7a6c7c721ef547c456,Sizzling Wok,13099,Chinese Restaurant,189
3870,Nelson & Denman,49.2890705989865,-123.138407369468,4aa97604f964a520c65320e3,Olympia Restaurant,13064,Pizzeria,37
3871,Nelson & Denman,49.2890705989865,-123.138407369468,58fe81bfc9f9076bbbf5bfa1,A&W Restaurant,13068,American Restaurant,59
3872,Nelson & Denman,49.2890705989865,-123.138407369468,5968495bbcbf7a5c8a65f56d,Tim Hortons,13032,"Cafes, Coffee, and Tea Houses",58
3873,Nelson & Denman,49.2890705989865,-123.138407369468,52af9df1498e9ed2ad4ad500,Cafe Phin,13034,Café,75
3874,Nelson & Denman,49.2890705989865,-123.138407369468,5afe50e7aa6c95002caf3675,Mitbit,13302,Mediterranean Restaurant,40
3875,Nelson & Denman,49.2890705989865,-123.138407369468,50fc78f4e4b020b565a97c05,Burger King,13031,Burger Joint,43
3876,Nelson & Denman,49.2890705989865,-123.138407369468,4aa97328f964a520b45320e3,Joe's Grill,13065,Restaurant,109
3877,Nelson & Denman,49.2890705989865,-123.138407369468,4abfcaf5f964a5203c9220e3,Legendary Noodle House,13099,Chinese Restaurant,117
3878,Nelson & Denman,49.2890705989865,-123.138407369468,5f7a1ff398df6d72aa1bcfce,Ongba Vietnamese Eatery,13032,"Cafes, Coffee, and Tea Houses",61
3879,Nelson & Denman,49.2890705989865,-123.138407369468,4ad6701ef964a520300721e3,Panago Pizza Inc,13064,Pizzeria,63
3880,Nelson & Denman,49.2890705989865,-123.138407369468,5810e16338fa28f23150d994,3 Quarters Full,13002,Bakery,78
3881,Nelson & Denman,49.2890705989865,-123.138407369468,4aa75933f964a520bf4c20e3,Banana Leaf,13072,Asian Restaurant,150
